"id","cups"
"zcrm_464730000000986031",""
"zcrm_464730000000986051",""
"zcrm_464730000000986071",""
"zcrm_464730000000986091",""
"zcrm_464730000000986111",""
"zcrm_464730000000986161",""
"zcrm_464730000000986179",""
"zcrm_464730000000986193",""
"zcrm_464730000000986211",""
"zcrm_464730000000986233",""
"zcrm_464730000000986251",""
"zcrm_464730000000986283",""
"zcrm_464730000000986299",""
"zcrm_464730000000986323",""
"zcrm_464730000000986343",""
"zcrm_464730000000986363",""
"zcrm_464730000000986383",""
"zcrm_464730000000986409","ES0021000003743056HX"
"zcrm_464730000000986443",""
"zcrm_464730000000986487",""
"zcrm_464730000000986595",""
"zcrm_464730000000986629",""
"zcrm_464730000000986653",""
"zcrm_464730000000986717",""
"zcrm_464730000000986739",""
"zcrm_464730000000986761",""
"zcrm_464730000000986779",""
"zcrm_464730000000986797",""
"zcrm_464730000000986817",""
"zcrm_464730000000986849",""
"zcrm_464730000000986869",""
"zcrm_464730000000986887",""
"zcrm_464730000000986907",""
"zcrm_464730000000986947",""
"zcrm_464730000000987041",""
"zcrm_464730000000987061",""
"zcrm_464730000000987081",""
"zcrm_464730000000987101",""
"zcrm_464730000000987123",""
"zcrm_464730000000987211",""
"zcrm_464730000000987237",""
"zcrm_464730000000987257",""
"zcrm_464730000000987277",""
"zcrm_464730000000987295",""
"zcrm_464730000000987321",""
"zcrm_464730000000987343",""
"zcrm_464730000000987363",""
"zcrm_464730000000987399",""
"zcrm_464730000000987417",""
"zcrm_464730000000987475",""
"zcrm_464730000000987493",""
"zcrm_464730000000987511",""
"zcrm_464730000000987543",""
"zcrm_464730000000987581","ES0021000009993539XJ"
"zcrm_464730000000987643",""
"zcrm_464730000000987651",""
"zcrm_464730000000987667",""
"zcrm_464730000000987677",""
"zcrm_464730000000987697",""
"zcrm_464730000000987719",""
"zcrm_464730000000989011",""
"zcrm_464730000000989061",""
"zcrm_464730000000989079",""
"zcrm_464730000000989099",""
"zcrm_464730000000989123",""
"zcrm_464730000000989145",""
"zcrm_464730000000989187",""
"zcrm_464730000000989207",""
"zcrm_464730000000989227",""
"zcrm_464730000000989247",""
"zcrm_464730000000989291",""
"zcrm_464730000000989313",""
"zcrm_464730000000989349",""
"zcrm_464730000000989369",""
"zcrm_464730000000989393","ES0021000007800412SM"
"zcrm_464730000000990153",""
"zcrm_464730000000990177",""
"zcrm_464730000000991009",""
"zcrm_464730000000993021",""
"zcrm_464730000000993035","ES0390000008964685LP1P"
"zcrm_464730000000993097",""
"zcrm_464730000000993109",""
"zcrm_464730000000993127",""
"zcrm_464730000000993151",""
"zcrm_464730000000993171",""
"zcrm_464730000000993191",""
"zcrm_464730000000993211","ES0031405840479001HEOF"
"zcrm_464730000000993235",""
"zcrm_464730000000993253",""
"zcrm_464730000001006109",""
"zcrm_464730000001006127",""
"zcrm_464730000001006149",""
"zcrm_464730000001006173",""
"zcrm_464730000001006195",""
"zcrm_464730000001006217",""
"zcrm_464730000001006239",""
"zcrm_464730000001006267",""
"zcrm_464730000001006285",""
"zcrm_464730000001006329",""
"zcrm_464730000001006351",""
"zcrm_464730000001006373",""
"zcrm_464730000001007013",""
"zcrm_464730000001010007",""
"zcrm_464730000001010031",""
"zcrm_464730000001010055",""
"zcrm_464730000001011007",""
"zcrm_464730000001011029",""
"zcrm_464730000001011051",""
"zcrm_464730000001011077",""
"zcrm_464730000001011101",""
"zcrm_464730000001011123",""
"zcrm_464730000001011145",""
"zcrm_464730000001011167",""
"zcrm_464730000001011189",""
"zcrm_464730000001015007",""
"zcrm_464730000001015029",""
"zcrm_464730000001015051",""
"zcrm_464730000001015069",""
"zcrm_464730000001015087",""
"zcrm_464730000001015105",""
"zcrm_464730000001015127",""
"zcrm_464730000001015149",""
"zcrm_464730000001015175",""
"zcrm_464730000001015193",""
"zcrm_464730000001016011",""
"zcrm_464730000001016033",""
"zcrm_464730000001016055",""
"zcrm_464730000001016099",""
"zcrm_464730000001016147",""
"zcrm_464730000001016187",""
"zcrm_464730000001016303",""
"zcrm_464730000001016325",""
"zcrm_464730000001016417",""
"zcrm_464730000001016439",""
"zcrm_464730000001016461",""
"zcrm_464730000001016479",""
"zcrm_464730000001016505",""
"zcrm_464730000001016573",""
"zcrm_464730000001016595",""
"zcrm_464730000001016619",""
"zcrm_464730000001016643",""
"zcrm_464730000001016665",""
"zcrm_464730000001016687",""
"zcrm_464730000001016821",""
"zcrm_464730000001023011",""
"zcrm_464730000001023027",""
"zcrm_464730000001023073",""
"zcrm_464730000001023099",""
"zcrm_464730000001023127",""
"zcrm_464730000001023175","ES0022000006532043MF1P"
"zcrm_464730000001023197",""
"zcrm_464730000001027009",""
"zcrm_464730000001027053",""
"zcrm_464730000001037020",""
"zcrm_464730000001037068",""
"zcrm_464730000001037096",""
"zcrm_464730000001043027",""
"zcrm_464730000001043055",""
"zcrm_464730000001043075",""
"zcrm_464730000001043095",""
"zcrm_464730000001043119",""
"zcrm_464730000001043141",""
"zcrm_464730000001043161",""
"zcrm_464730000001043185",""
"zcrm_464730000001043229",""
"zcrm_464730000001043347",""
"zcrm_464730000001043365",""
"zcrm_464730000001043383",""
"zcrm_464730000001043401",""
"zcrm_464730000001043419",""
"zcrm_464730000001043433",""
"zcrm_464730000001043447",""
"zcrm_464730000001043463",""
"zcrm_464730000001043477",""
"zcrm_464730000001043491",""
"zcrm_464730000001043517",""
"zcrm_464730000001043535","ES0294000000001605AE"
"zcrm_464730000001043557","ES0022000008570458JR1P"
"zcrm_464730000001043581",""
"zcrm_464730000001043617",""
"zcrm_464730000001043641",""
"zcrm_464730000001043673",""
"zcrm_464730000001043699",""
"zcrm_464730000001043723",""
"zcrm_464730000001043745",""
"zcrm_464730000001043769",""
"zcrm_464730000001043789",""
"zcrm_464730000001043829","ES0021000010793844FX1P"
"zcrm_464730000001043853",""
"zcrm_464730000001043875",""
"zcrm_464730000001043897",""
"zcrm_464730000001043919",""
"zcrm_464730000001043945",""
"zcrm_464730000001043965",""
"zcrm_464730000001043987",""
"zcrm_464730000001045015",""
"zcrm_464730000001045035",""
"zcrm_464730000001046009",""
"zcrm_464730000001046031",""
"zcrm_464730000001046055",""
"zcrm_464730000001046075","ES0031101457767001NX0F"
"zcrm_464730000001047009",""
"zcrm_464730000001047031",""
"zcrm_464730000001047053","ES0021000008306510PB"
"zcrm_464730000001047073","ES0021000006606006HN0F"
"zcrm_464730000001047093",""
"zcrm_464730000001047113",""
"zcrm_464730000001047133",""
"zcrm_464730000001047153",""
"zcrm_464730000001047179",""
"zcrm_464730000001047201",""
"zcrm_464730000001047221",""
"zcrm_464730000001047241",""
"zcrm_464730000001052027",""
"zcrm_464730000001060013",""
"zcrm_464730000001060033",""
"zcrm_464730000001060087",""
"zcrm_464730000001060105",""
"zcrm_464730000001060131",""
"zcrm_464730000001060179",""
"zcrm_464730000001060203",""
"zcrm_464730000001060227",""
"zcrm_464730000001060249",""
"zcrm_464730000001060297",""
"zcrm_464730000001060321",""
"zcrm_464730000001060345",""
"zcrm_464730000001060369","ES0031101490113005WX"
"zcrm_464730000001060429",""
"zcrm_464730000001060451",""
"zcrm_464730000001060473",""
"zcrm_464730000001060495",""
"zcrm_464730000001060517",""
"zcrm_464730000001064013",""
"zcrm_464730000001064037",""
"zcrm_464730000001064059",""
"zcrm_464730000001064083",""
"zcrm_464730000001064127",""
"zcrm_464730000001064149","ES0021000001089009QW1P"
"zcrm_464730000001064173",""
"zcrm_464730000001064195","ES0021000009176867SW"
"zcrm_464730000001064217",""
"zcrm_464730000001064239",""
"zcrm_464730000001064261",""
"zcrm_464730000001064301",""
"zcrm_464730000001064323",""
"zcrm_464730000001064367",""
"zcrm_464730000001064389",""
"zcrm_464730000001064457",""
"zcrm_464730000001064501",""
"zcrm_464730000001064567",""
"zcrm_464730000001064589","ES0021000004932569DD0F"
"zcrm_464730000001064611",""
"zcrm_464730000001064635",""
"zcrm_464730000001064659",""
"zcrm_464730000001064681",""
"zcrm_464730000001064725",""
"zcrm_464730000001064749",""
"zcrm_464730000001064817",""
"zcrm_464730000001064861",""
"zcrm_464730000001064883",""
"zcrm_464730000001064905","ES0021000011746526MD"
"zcrm_464730000001064949",""
"zcrm_464730000001064967",""
"zcrm_464730000001066015",""
"zcrm_464730000001072007",""
"zcrm_464730000001072029",""
"zcrm_464730000001078013",""
"zcrm_464730000001078035",""
"zcrm_464730000001078057",""
"zcrm_464730000001078101",""
"zcrm_464730000001080255",""
"zcrm_464730000001080359","ES0031101730608001TZ0F"
"zcrm_464730000001080379",""
"zcrm_464730000001080399",""
"zcrm_464730000001080435",""
"zcrm_464730000001080457",""
"zcrm_464730000001080483",""
"zcrm_464730000001080503",""
"zcrm_464730000001080523",""
"zcrm_464730000001080543",""
"zcrm_464730000001080561",""
"zcrm_464730000001080585",""
"zcrm_464730000001080605",""
"zcrm_464730000001080623",""
"zcrm_464730000001080653",""
"zcrm_464730000001080685",""
"zcrm_464730000001080709",""
"zcrm_464730000001080733",""
"zcrm_464730000001080757",""
"zcrm_464730000001080781",""
"zcrm_464730000001080817",""
"zcrm_464730000001080839",""
"zcrm_464730000001080861",""
"zcrm_464730000001080907",""
"zcrm_464730000001080925",""
"zcrm_464730000001080943",""
"zcrm_464730000001080961",""
"zcrm_464730000001080979",""
"zcrm_464730000001080997",""
"zcrm_464730000001085017",""
"zcrm_464730000001085035",""
"zcrm_464730000001085077",""
"zcrm_464730000001085099",""
"zcrm_464730000001085117",""
"zcrm_464730000001085135",""
"zcrm_464730000001085163",""
"zcrm_464730000001085181",""
"zcrm_464730000001085199",""
"zcrm_464730000001085235",""
"zcrm_464730000001085263",""
"zcrm_464730000001085281",""
"zcrm_464730000001085299",""
"zcrm_464730000001085317","ES0031408442015001ML0F"
"zcrm_464730000001085341",""
"zcrm_464730000001085359",""
"zcrm_464730000001085379",""
"zcrm_464730000001085417",""
"zcrm_464730000001085439",""
"zcrm_464730000001085459",""
"zcrm_464730000001085475",""
"zcrm_464730000001085519","ES0021000015465028ND"
"zcrm_464730000001085539",""
"zcrm_464730000001085557",""
"zcrm_464730000001085575",""
"zcrm_464730000001085605",""
"zcrm_464730000001085631",""
"zcrm_464730000001085651",""
"zcrm_464730000001085671",""
"zcrm_464730000001085693",""
"zcrm_464730000001085713",""
"zcrm_464730000001085743",""
"zcrm_464730000001085763",""
"zcrm_464730000001085787",""
"zcrm_464730000001087337",""
"zcrm_464730000001088039",""
"zcrm_464730000001088059",""
"zcrm_464730000001095047",""
"zcrm_464730000001096155","Es0321010007100073te"
"zcrm_464730000001106039",""
"zcrm_464730000001106063",""
"zcrm_464730000001106105",""
"zcrm_464730000001114017",""
"zcrm_464730000001118329",""
"zcrm_464730000001121049",""
"zcrm_464730000001121079","ES0031405650034001PJ0F"
"zcrm_464730000001122021",""
"zcrm_464730000001129007",""
"zcrm_464730000001136103",""
"zcrm_464730000001136135",""
"zcrm_464730000001147101",""
"zcrm_464730000001153049",""
"zcrm_464730000001153065",""
"zcrm_464730000001155013",""
"zcrm_464730000001159015","ES0021000011629417LQ"
"zcrm_464730000001159031",""
"zcrm_464730000001165043","ES0031101897647001QL0F"
"zcrm_464730000001167037","ES0031300250550001XQOF"
"zcrm_464730000001167105",""
"zcrm_464730000001169005","ES0022000000528703.8QS1P"
"zcrm_464730000001175047","ES0031406110422004RY"
"zcrm_464730000001182063","ES0031408083872001PROF"
"zcrm_464730000001182097",""
"zcrm_464730000001182127",""
"zcrm_464730000001194031","ES0031102393485031QR0F"
"zcrm_464730000001194055","ES0021000011814708WL"
"zcrm_464730000001194075","ES00314059879114003PP"
"zcrm_464730000001212019",""
"zcrm_464730000001212041",""
"zcrm_464730000001212167",""
"zcrm_464730000001212185",""
"zcrm_464730000001214021",""
"zcrm_464730000001214045",""
"zcrm_464730000001214069",""
"zcrm_464730000001217011",""
"zcrm_464730000001219025",""
"zcrm_464730000001240071",""
"zcrm_464730000001245009","ES0021000012113269BV1P"
"zcrm_464730000001245041",""
"zcrm_464730000001245075",""
"zcrm_464730000001245145",""
"zcrm_464730000001245179",""
"zcrm_464730000001250021",""
"zcrm_464730000001290021",""
"zcrm_464730000001300032","ES0021000002523731LF0F"
"zcrm_464730000001300072",""
"zcrm_464730000001300098",""
"zcrm_464730000001325009",""
"zcrm_464730000001351005",""
"zcrm_464730000001354011",""
"zcrm_464730000001354045",""
"zcrm_464730000001354071",""
"zcrm_464730000001354109","ES0026000000599275AA0F"
"zcrm_464730000001354155",""
"zcrm_464730000001359005","ES0021000017861080KJ"
"zcrm_464730000001364019",""
"zcrm_464730000001380005",""
"zcrm_464730000001403027","es0031405115331002swof"
"zcrm_464730000001415029",""
"zcrm_464730000001415063",""
"zcrm_464730000001420009",""
"zcrm_464730000001420031",""
"zcrm_464730000001423511",""
"zcrm_464730000001425005","ES0021000006814195PM0F"
"zcrm_464730000001429015",""
"zcrm_464730000001430007",""
"zcrm_464730000001466007",""
"zcrm_464730000001466051","ES0031405928105001XROF"
"zcrm_464730000001471096",""
"zcrm_464730000001471214",""
"zcrm_464730000001471236",""
"zcrm_464730000001476215",""
"zcrm_464730000001487007","ES0031101494937008GQ0F"
"zcrm_464730000001487051",""
"zcrm_464730000001487087",""
"zcrm_464730000001487147",""
"zcrm_464730000001487165",""
"zcrm_464730000001509005",""
"zcrm_464730000001509071",""
"zcrm_464730000001509141",""
"zcrm_464730000001512009",""
"zcrm_464730000001512031",""
"zcrm_464730000001512053",""
"zcrm_464730000001519015",""
"zcrm_464730000001519051",""
"zcrm_464730000001519077",""
"zcrm_464730000001525027",""
"zcrm_464730000001528057",""
"zcrm_464730000001528115",""
"zcrm_464730000001548053",""
"zcrm_464730000001548127","ES0021000001243128TK0F"
"zcrm_464730000001558017",""
"zcrm_464730000001567041","ES0031102144433001CK0F"
"zcrm_464730000001567061",""
"zcrm_464730000001638021","ES0031405083722001YQ"
"zcrm_464730000001638095","ES0021000012758737SJ"
"zcrm_464730000001640051","ES0022000004977234RK1P"
"zcrm_464730000001643023","ES0031405611091003WV0F"
"zcrm_464730000001647056",""
"zcrm_464730000001647076","es003140592715400qm0f"
"zcrm_464730000001647146",""
"zcrm_464730000001651009",""
"zcrm_464730000001654032",""
"zcrm_464730000001668127",""
"zcrm_464730000001675017",""
"zcrm_464730000001675043",""
"zcrm_464730000001689033",""
"zcrm_464730000001689078","ES0031405520903012DV0F"
"zcrm_464730000001689098",""
"zcrm_464730000001696206",""
"zcrm_464730000001696234","ES0031406297563001VP"
"zcrm_464730000001708043",""
"zcrm_464730000001708075",""
"zcrm_464730000001708091",""
"zcrm_464730000001708113","ES0021000012258668PX1P"
"zcrm_464730000001708207",""
"zcrm_464730000001718045","ES0021000005704389DH0F"
"zcrm_464730000001726087",""
"zcrm_464730000001726212","ES0031300212285001CR0F"
"zcrm_464730000001730023",""
"zcrm_464730000001730067",""
"zcrm_464730000001730091",""
"zcrm_464730000001730117",""
"zcrm_464730000001730161",""
"zcrm_464730000001730203",""
"zcrm_464730000001748091",""
"zcrm_464730000001748127","ES 0021 0000 1267 7814 QC"
"zcrm_464730000001748145","ES0021000012884524XJ"
"zcrm_464730000001748219","ES0031405624164002HT0F"
"zcrm_464730000001748267",""
"zcrm_464730000001748301",""
"zcrm_464730000001758035",""
"zcrm_464730000001758063","ES0031405926484001AH0F"
"zcrm_464730000001758089",""
"zcrm_464730000001759071","ES0021000002553148XF"
"zcrm_464730000001759118",""
"zcrm_464730000001759148",""
"zcrm_464730000001759178",""
"zcrm_464730000001759204","ES0031300013863074AV0F"
"zcrm_464730000001770045",""
"zcrm_464730000001770079",""
"zcrm_464730000001770135",""
"zcrm_464730000001770193","ESOO31405838033001TA0F"
"zcrm_464730000001770239",""
"zcrm_464730000001777059","ES0031300570806001FZ0F"
"zcrm_464730000001786041",""
"zcrm_464730000001786069",""
"zcrm_464730000001786089","ES0315000010218315BZOF"
"zcrm_464730000001799057",""
"zcrm_464730000001799085",""
"zcrm_464730000001799131",""
"zcrm_464730000001799171","ES0031101486496006SZ0F"
"zcrm_464730000001799217",""
"zcrm_464730000001804003",""
"zcrm_464730000001804021",""
"zcrm_464730000001806040",""
"zcrm_464730000001810039",""
"zcrm_464730000001811011","ES0022000007039680LB1P"
"zcrm_464730000001811053",""
"zcrm_464730000001814033",""
"zcrm_464730000001814071","ES0031300185152002VX0F"
"zcrm_464730000001823077",""
"zcrm_464730000001823105","ES0031405171045001WC0F"
"zcrm_464730000001823181",""
"zcrm_464730000001823229","Es0021000010619432zf1f"
"zcrm_464730000001829009","ES0021000010619432ZF1F"
"zcrm_464730000001838015","ES0031408121846001LN0F"
"zcrm_464730000001839089","ES0022000008681771EV1P"
"zcrm_464730000001841039",""
"zcrm_464730000001841065",""
"zcrm_464730000001847009","ES 0021 0000 1097 0759 VD"
"zcrm_464730000001848003",""
"zcrm_464730000001848039",""
"zcrm_464730000001849015",""
"zcrm_464730000001849045","ES0031105094538001KQ0F"
"zcrm_464730000001849065","ES0022000006295698XX1P"
"zcrm_464730000001849089",""
"zcrm_464730000001849119","ES0021000011510885HA"
"zcrm_464730000001851025",""
"zcrm_464730000001851063",""
"zcrm_464730000001851239",""
"zcrm_464730000001857165",""
"zcrm_464730000001857191",""
"zcrm_464730000001857227",""
"zcrm_464730000001861189","ES0021000003014827GF"
"zcrm_464730000001869193",""
"zcrm_464730000001871013","ES0027700036503001RE0F"
"zcrm_464730000001871067","ES0031300515357024LN0F"
"zcrm_464730000001877025","ES0031405430295002VR0F"
"zcrm_464730000001879105",""
"zcrm_464730000001881143",""
"zcrm_464730000001881175",""
"zcrm_464730000001881201",""
"zcrm_464730000001881231",""
"zcrm_464730000001887019","ES0031405980162003LE0F"
"zcrm_464730000001887045",""
"zcrm_464730000001887079","ES0031500112395020JF0F"
"zcrm_464730000001887115",""
"zcrm_464730000001887217",""
"zcrm_464730000001888003","ES0021000013662231JK"
"zcrm_464730000001890068","ES0113000998052395LY0F"
"zcrm_464730000001890090","ES0113000998052395LY0F"
"zcrm_464730000001894303",""
"zcrm_464730000001896055","ES0031101494937008GQ0F"
"zcrm_464730000001901077","Es0031408019655001ajof"
"zcrm_464730000001906075","ES0021000008529382SJ1P"
"zcrm_464730000001912073",""
"zcrm_464730000001912128",""
"zcrm_464730000001914200",""
"zcrm_464730000001914294",""
"zcrm_464730000001914314",""
"zcrm_464730000001914386",""
"zcrm_464730000001914414",""
"zcrm_464730000001920003","ES0022000008803541GW1P"
"zcrm_464730000001920091",""
"zcrm_464730000001925087",""
"zcrm_464730000001925115",""
"zcrm_464730000001925461","ES0033770586679001NC"
"zcrm_464730000001925503",""
"zcrm_464730000001925541","ES0021000001885171QL"
"zcrm_464730000001925567",""
"zcrm_464730000001928009",""
"zcrm_464730000001928031","es0033770081748058qzof"
"zcrm_464730000001928079",""
"zcrm_464730000001928107",""
"zcrm_464730000001928133","ES0022000008548548AX1P"
"zcrm_464730000001934697","ES0021000011070271CT1P"
"zcrm_464730000001934723",""
"zcrm_464730000001934759",""
"zcrm_464730000001934783","ES0021000009126146VL0F"
"zcrm_464730000001934889",""
"zcrm_464730000001935045",""
"zcrm_464730000001935073",""
"zcrm_464730000001935107",""
"zcrm_464730000001946019","ES0390000005921406KC1P"
"zcrm_464730000001948077",""
"zcrm_464730000001948099",""
"zcrm_464730000001948151",""
"zcrm_464730000001960095","ES0031103327975001PV0F"
"zcrm_464730000001960186","ES0021000008383448HZ"
"zcrm_464730000001962096",""
"zcrm_464730000001962223",""
"zcrm_464730000001962298","ES003377012665001LN"
"zcrm_464730000001964023","ES0031601101647007EM0F"
"zcrm_464730000001964099","ES0031405919444001TLOF"
"zcrm_464730000001964163","ES0021000005620336NF1P"
"zcrm_464730000001964193","ES0031405514477002ET0F"
"zcrm_464730000001964211","ES0031406289079001KH0F"
"zcrm_464730000001964351","ES0031408496016004NN0F"
"zcrm_464730000001981017",""
"zcrm_464730000001981063",""
"zcrm_464730000001987071",""
"zcrm_464730000001987220","ES0031405890649001AF0F"
"zcrm_464730000001990241","ES0021000005130163KX1P"
"zcrm_464730000001990337","ES0031408121846002LJ0F"
"zcrm_464730000001999012",""
"zcrm_464730000002010103",""
"zcrm_464730000002010183","ES0021000018976657VK"
"zcrm_464730000002010286","ES0022000006181644LJ1P"
"zcrm_464730000002016179","ES0031103349262002XN0F"
"zcrm_464730000002035003","ES0021000011551291AK"
"zcrm_464730000002035043","ES0022000005018542AK"
"zcrm_464730000002038033",""
"zcrm_464730000002038103",""
"zcrm_464730000002038131","ES0022000008702261QZ1P"
"zcrm_464730000002038141","ES0021000004920833MAOP"
"zcrm_464730000002041053","ES0031405974910001QR0F"
"zcrm_464730000002047095","ES0031405567431001TH0F"
"zcrm_464730000002056079",""
"zcrm_464730000002066031",""
"zcrm_464730000002066053",""
"zcrm_464730000002066131",""
"zcrm_464730000002066151",""
"zcrm_464730000002067083",""
"zcrm_464730000002067109",""
"zcrm_464730000002067223","ES0031101989047001NC0F"
"zcrm_464730000002067253","VARIOS"
"zcrm_464730000002067311",""
"zcrm_464730000002067369",""
"zcrm_464730000002069155","ES0021000000025388RQ"
"zcrm_464730000002069197",""
"zcrm_464730000002069235",""
"zcrm_464730000002070015","ES0021000013875814PA"
"zcrm_464730000002081117",""
"zcrm_464730000002081203",""
"zcrm_464730000002085119","ES0031102605262001MD"
"zcrm_464730000002087005",""
"zcrm_464730000002087047",""
"zcrm_464730000002087095","ES0244364800000024SG0F"
